ID;Code No;Name;Z;Density;Atomic wght;valel s+p,n;valel s+p,n+1;s+p, n+n+1;valel d;valel f;Energy gap 300 K;Melting point, C
1;1;H;1;0.071;1.00797;0;1;1;0;0;0;-259.2
2;2;He;2;0.126;4.0026;0;2;2;0;0;0;-269.7
3;3;Li;3;0.53;6.939;2;1;3;0;0;0;180.5
4;4;Be;4;1.85;9.0122;0;2;2;0;0;0;1277
5;5;B;5;2.34;10.811;0;3;3;0;0;0;2030
6;6;C;6;2.26;12.01115;0;4;4;0;0;5.4;3727
7;7;N;7;0.81;14.0067;0;5;5;0;0;0;-210
8;8;O;8;1.14;15.9994;0;6;6;0;0;0;-218.8
9;9;F;9;1.505;18.9984;0;7;7;0;0;0;-219.6
10;10;Ne;10;1.2;20.183;0;8;8;0;0;0;-248.6
11;11;Na;11;0.97;22.9898;8;1;9;0;0;0;97.8
12;12;Mg;12;1.74;24.312;8;2;10;0;0;0;650
13;13;Al;13;2.7;26.9815;0;0;9;0;3;0;660
14;14;Si;14;2.33;28.086;6;4;10;0;0;1.12;1410
15;15;P;15;1.82;30.9738;0;5;5;0;0;0;44.2
16;16;S;16;2.07;32.064;0;6;6;0;0;0;119
17;17;Cl;17;1.56;35.453;0;7;7;0;0;0;-101
18;18;Ar;18;1.4;39.948;0;8;8;0;0;0;-189.4
19;19;K;19;0.86;39.102;8;1;9;0;0;0;63.7
20;20;Ca;20;1.55;40.08;8;2;10;0;0;0;838
21;21;Sc;21;3;44.956;8;2;10;1;0;0;1539
22;22;Ti;22;4.51;47.9;8;2;10;2;0;0;1668
23;23;V;23;6.1;50.942;8;2;10;3;0;0;1900
24;24;Cr;24;7.19;51.996;8;1;9;5;0;0;1875
25;25;Mn;25;7.43;54.938;8;2;10;5;0;0;1245
26;26;Fe;26;7.86;55.847;8;2;10;6;0;0;1536
27;27;Co;27;8.9;58.933;8;2;10;7;0;0;1495
28;28;Ni;28;8.9;58.71;6;2;8;8;0;0;1453
29;29;Cu;29;8.96;63.54;6;1;7;10;0;0;1083
30;30;Zn;30;7.14;65.37;6;8;8;4;0;0;419.5
31;31;Ga;31;5.91;69.72;10;3;3;0;0;0;29.8
32;32;Ge;32;5.32;72.59;10;4;4;0;0;0.67;937.4
33;33;As;33;5.72;74.922;10;5;5;0;0;0;817
34;34;Se;34;4.79;78.96;10;6;6;0;0;0;217
35;35;Br;35;3.12;79.909;10;7;7;0;0;0;-7.2
36;36;Kr;36;2.6;83.8;10;8;8;0;0;0;-157.3
37;37;Rb;37;1.53;85.47;8;1;9;0;0;0;38.9
38;38;Sr;38;2.6;87.62;8;2;10;0;0;0;768
39;39;Y;39;4.47;88.905;8;2;10;1;0;0;1509
40;40;Zr;40;6.49;91.22;8;2;10;2;0;0;1852
41;41;Nb;41;8.4;92.906;8;1;9;4;0;0;2468
42;42;Mo;42;10.2;95.94;8;1;9;5;0;0;2610
